Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0110933	96	46	46	43	25	20	50	69	65	22	34	25	44.08	61	27	0.438	-1.191	-3.189	0.00142558480170807	0.0340059583278372	0.0234	0.1923	0.0726	0.0726	TRUE	0.3094
FBtr0079664	8918	3346	3313	6509	2520	2975	4615	5012	4667	3324	3461	3691	4128.2	4765	3492	0.733	-0.449	-3.185	0.00144616415735055	0.0344138341896595	0.0021	0.0897	0.014	0.014	TRUE	0.0302
FBtr0331945	53	21	12	16	6	4	27	31	17	8	8	5	16.19	25	7	0.286	-1.807	-3.184	0.00145208465518127	0.0345131899714059	0	0.3707	0.1441	0.1441	TRUE	0.3082
FBtr0071813	25751	8015	8491	18219	6317	7514	13327	12005	11961	9303	8675	9322	10765.56	12431	9100	0.732	-0.45	-3.183	0.00145670371531418	0.0345814117290971	0.0026	0.0891	0.0143	0.0143	TRUE	0.0488
FBtr0078031	4848	1425	1389	3007	1077	1142	2509	2134	1957	1536	1479	1417	1838.55	2200	1477	0.671	-0.576	-3.18	0.00147119545807514	0.0348835613710263	0.0082	0.0911	0.023	0.023	TRUE	0.1858
FBtr0077625	725	257	273	468	104	191	375	385	385	239	143	237	293.91	382	206	0.543	-0.881	-3.174	0.00150475196437486	0.0355263295310272	0.0317	0.1042	0.0515	0.0515	TRUE	0.7328
FBtr0085713	77727	25395	27792	58829	21772	24544	40226	38036	39151	30041	29899	30449	34633.71	39138	30130	0.77	-0.377	-3.173	0.00151105832637729	0.0355728314334654	4e-04	0.0888	0.0102	0.0102	TRUE	0.0074
FBtr0076530	87	88	52	63	7	4	45	132	73	32	10	5	49.47	83	16	0.196	-2.353	-3.163	0.00156260735021731	0.0366554689804832	0.4806	0.181	0.3607	0.3607	TRUE	0.6274
FBtr0113425	107	48	27	36	21	14	55	72	38	18	29	17	38.32	55	21	0.385	-1.378	-3.154	0.00161256355026048	0.0376935539238336	0.05	0.2078	0.104	0.104	TRUE	0.0944
FBtr0112920	52	16	17	17	6	7	27	24	24	9	8	9	16.74	25	9	0.341	-1.553	-3.147	0.00164994851978501	0.0384307797158405	0	0.3615	0.0983	0.0983	TRUE	0.0452
FBtr0078187	523	172	168	241	120	137	271	258	237	123	165	170	203.8	255	153	0.593	-0.755	-3.138	0.00170173704968493	0.0394511725176079	0.0139	0.1111	0.0362	0.0362	TRUE	0.3577
FBtr0074432	65	78	74	17	17	24	34	117	104	9	23	30	52.75	85	21	0.239	-2.065	-3.13	0.00175044481091117	0.0403438766151146	0.3411	0.1752	0.2818	0.2818	TRUE	1.3784
FBtr0273385	316	78	89	167	41	43	164	117	125	85	56	53	100.11	135	65	0.485	-1.045	-3.128	0.00176223613893185	0.0404741227031095	0.043	0.1343	0.0686	0.0686	TRUE	0.8189
FBtr0339189	1370	322	378	695	259	258	709	482	532	355	356	320	459.07	574	344	0.596	-0.746	-3.128	0.00176074525878109	0.0404741227031095	0.0213	0.0986	0.0385	0.0385	TRUE	0.5118
FBtr0304993	931	390	384	282	198	263	482	584	541	144	272	326	391.51	536	247	0.46	-1.12	-3.126	0.00177406622389501	0.0406985609948073	0.0848	0.1003	0.0894	0.0894	TRUE	1.6096
FBtr0074301	5827	2301	2654	3080	1612	1853	3016	3446	3739	1573	2214	2299	2714.35	3400	2029	0.596	-0.746	-3.125	0.00177925345736645	0.0407254609596024	0.0243	0.0903	0.0406	0.0406	TRUE	0.4738
FBtr0342976	103	30	18	22	13	12	53	45	25	11	18	15	27.93	41	15	0.342	-1.547	-3.123	0.00178914410104312	0.0409021093619974	0.0714	0.2522	0.129	0.129	TRUE	0.2923
FBtr0070207	363	101	114	185	61	91	188	151	161	94	84	113	131.81	167	97	0.579	-0.788	-3.113	0.00185475424105536	0.0422068643462252	0.0089	0.1233	0.0377	0.0377	TRUE	0.1731
FBtr0113477	157	152	83	92	17	50	81	228	117	47	23	62	93.03	142	44	0.314	-1.673	-3.109	0.00187721903362186	0.0426199843741358	0.22	0.1377	0.1931	0.1931	TRUE	0.4571
FBtr0086584	5042	1476	1453	2316	1070	1301	2609	2211	2047	1183	1469	1614	1855.51	2289	1422	0.62	-0.689	-3.107	0.00188892848721907	0.0427875840031582	0.0191	0.0911	0.0348	0.0348	TRUE	0.2667
FBtr0071993	66	19	34	26	4	13	34	28	48	13	5	16	24.23	37	11	0.323	-1.629	-3.105	0.00190217705410929	0.0429401269920219	0.0424	0.2771	0.1418	0.1418	TRUE	0.4466
FBtr0086516	3106	1016	979	1955	796	888	1607	1522	1379	998	1093	1102	1283.57	1503	1064	0.707	-0.5	-3.105	0.00190139363109837	0.0429401269920219	0.0039	0.0922	0.0178	0.0178	TRUE	0.0618
FBtr0089409	179	72	74	117	44	35	93	108	104	60	60	43	78.05	102	54	0.543	-0.881	-3.093	0.00198030399222625	0.0442992210930702	0	0.1472	0.0439	0.0439	TRUE	0.2279
FBtr0084139	1222	433	462	914	349	372	632	649	651	467	479	462	556.55	644	469	0.729	-0.456	-3.089	0.00200558466699167	0.0447634726746731	0	0.0968	0.0138	0.0138	TRUE	0.0038
FBtr0072436	993	333	352	636	263	299	514	499	496	325	361	371	427.57	503	352	0.698	-0.518	-3.087	0.00202393169116747	0.0450712265685099	0	0.0993	0.0178	0.0178	TRUE	0.0599
FBtr0079667	2811	468	456	890	291	305	1455	701	642	454	400	378	671.77	933	411	0.44	-1.185	-3.084	0.00204216461862414	0.0454261027371118	0.1085	0.0954	0.1044	0.1044	TRUE	2.9054
FBtr0071346	245	54	40	64	12	34	127	81	56	33	16	42	59.23	88	30	0.345	-1.535	-3.081	0.00206192823722666	0.0458141920125362	0.1508	0.1658	0.156	0.156	TRUE	0.2203
FBtr0070399	54	19	22	16	8	11	28	28	31	8	11	14	20.03	29	11	0.363	-1.46	-3.069	0.00214786854384665	0.0476167045454793	0	0.3166	0.0988	0.0988	TRUE	0.3827
FBtr0089951	1437	157	113	205	99	52	744	235	159	105	136	65	240.53	379	102	0.267	-1.903	-3.069	0.00215097246568161	0.0476321170311914	0.3696	0.1076	0.2707	0.2707	TRUE	1.7242
FBtr0300976	107	8	19	17	4	4	55	12	27	9	5	5	18.88	31	6	0.205	-2.283	-3.065	0.00217894152271473	0.0481436520800937	0.295	0.3306	0.3074	0.3074	TRUE	0.1825
FBtr0300415	146	49	49	66	32	32	76	73	69	34	44	40	55.89	73	39	0.529	-0.92	-3.062	0.00220059497327829	0.0485136740207114	0	0.1704	0.0448	0.0448	TRUE	0.1666
FBtr0308827	442	192	239	308	107	56	229	288	337	157	147	69	204.45	285	124	0.441	-1.182	-3.057	0.00223417109921128	0.0491443086617386	0.0971	0.111	0.1016	0.1016	TRUE	0.5862
FBtr0303097	547	134	164	199	91	129	283	201	231	102	125	160	183.57	238	129	0.535	-0.902	-3.056	0.00224185837939544	0.0492586105028276	0.036	0.1135	0.0564	0.0564	TRUE	0.3708
