Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0083035	4641	1623	1721	6395	2850	3333	2402	2431	2424	3266	3914	4135	3095.25	2419	3772	1.558	0.64	3.706	0.000210950093280617	0.00731848788530562	0.0067	0.0901	0.0211	0.0211	TRUE	0.1694
FBtr0071009	5	1	1	26	14	14	3	1	1	13	19	17	9.23	2	16	8.119	3.021	3.703	0.000213469179991592	0.00738168479226689	0	0.5836	0.2055	0.2055	TRUE	0.2668
FBtr0301413	838	420	413	1753	738	883	434	629	582	895	1013	1095	774.78	548	1001	1.831	0.873	3.702	0.000213518265546228	0.00738168479226689	0.0224	0.0945	0.0385	0.0385	TRUE	0.4132
FBtr0084465	249	47	66	590	167	153	129	70	93	301	229	190	168.78	97	240	2.444	1.289	3.691	0.000222982766916764	0.00765535454128301	0.0651	0.1157	0.0801	0.0801	TRUE	0.3671
FBtr0076427	1783	483	522	3247	971	1009	923	723	735	1658	1333	1252	1104.14	794	1414	1.78	0.832	3.69	0.000223994865493109	0.00767677376971617	0.0192	0.0928	0.0356	0.0356	TRUE	0.2781
FBtr0089513	1359	402	322	2464	778	820	703	602	454	1258	1068	1017	850.5	586	1114	1.898	0.925	3.683	0.000230890753900668	0.00787218044549259	0.0275	0.094	0.044	0.044	TRUE	0.451
FBtr0089033	576	230	262	1026	402	430	298	344	369	524	552	533	436.85	337	536	1.597	0.675	3.669	0.000243369268505895	0.0082691190458833	0.0043	0.0991	0.0218	0.0218	TRUE	0.1322
FBtr0075554	334	35	128	683	367	462	173	52	180	349	504	573	305.25	135	475	3.498	1.807	3.656	0.000255894519024567	0.00859136521852431	0.21	0.1036	0.1707	0.1707	TRUE	1.2195
FBtr0083122	707	270	221	1080	678	590	366	404	311	551	931	732	549.36	360	738	2.044	1.031	3.653	0.000259215577819572	0.00867341463854827	0.0409	0.097	0.0552	0.0552	TRUE	0.1164
FBtr0071393	30	8	16	81	38	39	16	12	23	41	52	48	32	17	47	2.834	1.503	3.651	0.000261530354798447	0.00873608575361367	0	0.2314	0.0797	0.0797	TRUE	0.2986
FBtr0083555	20	11	8	66	26	44	10	16	11	34	36	55	27.02	12	42	3.325	1.733	3.646	0.000266501968553626	0.00886104924648241	0	0.2577	0.1079	0.1079	TRUE	0.5397
FBtr0114614	187	44	112	1053	187	206	97	66	158	538	257	256	228.42	107	350	3.289	1.718	3.643	0.000268967923052532	0.00889438240529066	0.1771	0.1086	0.1534	0.1534	TRUE	2.6125
FBtr0331664	29	29	32	194	81	104	15	43	45	99	111	129	73.81	34	113	3.375	1.755	3.637	0.000276365102472435	0.0090632170835695	0.1448	0.1505	0.1467	0.1467	TRUE	2.4624
FBtr0339418	144	95	39	469	175	201	75	142	55	239	240	249	166.82	91	243	2.701	1.434	3.637	0.000275934069481659	0.0090632170835695	0.097	0.116	0.1036	0.1036	TRUE	2.0872
FBtr0071762	1290	482	585	2082	926	1005	668	722	824	1063	1272	1247	965.88	738	1194	1.619	0.695	3.633	0.000279994064170633	0.00915187209747812	0.0096	0.0934	0.0252	0.0252	TRUE	0.1221
FBtr0310266	415	155	255	961	419	669	215	232	359	491	575	830	450.38	269	632	2.356	1.236	3.63	0.000282951378581561	0.00921806179810605	0.0732	0.0988	0.0806	0.0806	TRUE	0.5636
FBtr0344967	34	13	12	102	35	32	18	19	17	52	48	40	32.3	18	47	2.621	1.39	3.63	0.000283643595263667	0.00922541463213654	0	0.23	0.0658	0.0658	TRUE	0.1207
FBtr0076808	1109	486	609	2226	1041	1204	574	728	858	1137	1430	1494	1036.62	720	1354	1.882	0.912	3.629	0.000284586155951982	0.00922572333434499	0.0278	0.093	0.0444	0.0444	TRUE	0.3876
FBtr0273275	147	36	44	366	78	129	76	54	62	187	107	160	107.67	64	151	2.353	1.235	3.629	0.000284224587852552	0.00922572333434499	0.0478	0.1311	0.0715	0.0715	TRUE	0.2459
FBtr0085236	105	23	43	188	93	101	54	34	61	96	128	125	83.06	50	116	2.304	1.204	3.626	0.000287347326403292	0.00929998916468919	0.0276	0.1436	0.0641	0.0641	TRUE	0.445
FBtr0345005	330	146	147	586	302	342	171	219	207	299	415	424	289.13	199	379	1.911	0.934	3.625	0.000289068423315023	0.00932737828788872	0.0252	0.1044	0.0437	0.0437	TRUE	0.4202
FBtr0082287	412	131	139	594	256	262	213	196	196	303	352	325	264.19	202	327	1.609	0.686	3.617	0.000298579206506387	0.00961629284798666	0	0.1059	0.0217	0.0217	TRUE	0.049
FBtr0342819	100	74	66	420	185	141	52	111	93	214	254	175	149.84	85	214	2.554	1.353	3.609	0.000307223306384751	0.00987860306302188	0.0803	0.1191	0.0922	0.0922	TRUE	0.45
FBtr0304005	290	48	51	840	196	171	150	72	72	429	269	212	200.68	98	303	3.071	1.618	3.601	0.00031676810854681	0.010136066903743	0.1516	0.1114	0.1382	0.1382	TRUE	0.657
FBtr0330306	24	3	3	83	29	21	12	4	4	42	40	26	21.57	7	36	4.671	2.224	3.596	0.000323559145425298	0.0103366431353558	0.1207	0.3004	0.1934	0.1934	TRUE	2.136
FBtr0334654	13	7	18	83	102	44	7	10	25	42	140	55	46.6	14	79	5.707	2.513	3.594	0.000325977493515041	0.0103971047326773	0.3762	0.1866	0.3057	0.3057	TRUE	1.6484
FBtr0273224	145	124	125	690	316	308	75	186	176	352	434	382	267.54	146	389	2.698	1.432	3.588	0.000332678620154977	0.0105428200537895	0.1112	0.1057	0.1095	0.1095	TRUE	2.1352
FBtr0075199	996	307	293	3200	648	640	515	460	413	1634	890	794	784.33	463	1106	2.391	1.258	3.588	0.000333303597057086	0.0105457258108862	0.0837	0.0945	0.0869	0.0869	TRUE	2.1193
FBtr0083913	262	90	91	469	157	167	136	135	128	239	216	207	176.81	133	221	1.665	0.736	3.586	0.000336043557250957	0.0105816263449644	0	0.1145	0.0239	0.0239	TRUE	0.0691
FBtr0110876	130	22	18	471	91	86	67	33	25	241	125	107	99.63	42	158	3.697	1.886	3.586	0.000335945008200848	0.0105816263449644	0.2096	0.1345	0.1831	0.1831	TRUE	2.0099
FBtr0088816	100	33	43	181	83	109	52	49	61	92	114	135	83.9	54	114	2.103	1.072	3.578	0.000346448878699461	0.0108746453591775	0.0185	0.1431	0.0501	0.0501	TRUE	0.1192
FBtr0071911	3399	1095	989	4838	1764	1968	1759	1640	1393	2471	2422	2442	2021.14	1597	2445	1.529	0.613	3.576	0.000348988901274625	0.0109370135066652	0.0061	0.0909	0.0206	0.0206	TRUE	0.1493
FBtr0070239	756	161	205	1083	467	467	391	241	289	553	641	579	449.15	307	591	1.913	0.936	3.566	0.000362201601968707	0.0113152238213763	0.0304	0.0988	0.0469	0.0469	TRUE	0.6953
FBtr0085899	1158	172	320	2080	787	782	599	258	451	1062	1081	970	736.8	436	1038	2.373	1.247	3.561	0.000368891255924465	0.0114879127337107	0.0829	0.0948	0.0865	0.0865	TRUE	0.7316
FBtr0079864	3246	1114	1224	4908	1624	1985	1680	1669	1724	2506	2230	2463	2045.29	1691	2400	1.42	0.506	3.557	0.000374532907034671	0.0116452645229727	0.0017	0.0909	0.014	0.014	TRUE	0.0457
FBtr0340190	559	225	443	1641	761	1045	289	337	624	838	1045	1296	738.3	417	1060	2.547	1.349	3.552	0.000382478334727955	0.0118736406110601	0.1054	0.0948	0.102	0.102	TRUE	0.5702
FBtr0302548	237	87	49	643	144	209	123	130	69	328	198	259	184.56	107	262	2.438	1.286	3.551	0.000383137326380581	0.0118754555316238	0.0754	0.1134	0.0873	0.0873	TRUE	0.1957
FBtr0113246	69	19	34	618	44	109	36	28	48	316	60	135	103.88	37	170	4.589	2.198	3.543	0.000394877472519589	0.0121820624322541	0.3316	0.1326	0.2592	0.2592	TRUE	0.2591
FBtr0073135	53	21	25	198	42	59	27	31	35	101	58	73	54.35	31	77	2.525	1.336	3.539	0.000401589963024354	0.0123698466025025	0.0424	0.1727	0.0788	0.0788	TRUE	0.2403
FBtr0080942	37	9	10	106	39	27	19	13	14	54	54	33	31.32	15	47	2.951	1.561	3.536	0.000406677887948557	0.0125070843455408	0	0.2345	0.0968	0.0968	TRUE	0.448
FBtr0080165	2550	807	952	3770	1312	1449	1320	1209	1341	1925	1802	1798	1565.67	1290	1842	1.428	0.514	3.535	0.000408176856075048	0.0125336915044784	0.0013	0.0916	0.0145	0.0145	TRUE	0.0352
FBtr0078078	678	256	259	1169	507	417	351	383	365	597	696	517	484.95	366	603	1.648	0.721	3.524	0.000425538575468047	0.0130263549998152	0.0099	0.0981	0.0278	0.0278	TRUE	0.1558
FBtr0088137	2481	1322	1426	5964	2436	2706	1284	1980	2009	3045	3345	3357	2503.46	1758	3249	1.85	0.888	3.523	0.000426706708987749	0.0130419245289532	0.0281	0.0905	0.0453	0.0453	TRUE	0.6825
FBtr0085857	396	130	133	639	207	262	205	195	187	326	284	325	253.77	196	312	1.593	0.671	3.517	0.000437235547004195	0.0133431063919876	0	0.1066	0.0218	0.0218	TRUE	0.0632
FBtr0078971	367	154	126	583	295	311	190	231	177	298	405	386	281.12	199	363	1.818	0.862	3.514	0.000441033846297638	0.0134176066315935	0.0192	0.1049	0.0392	0.0392	TRUE	0.3042
FBtr0332038	104	45	69	278	130	125	54	67	97	142	179	155	115.66	73	159	2.202	1.139	3.514	0.000440601252548311	0.0134176066315935	0.0382	0.1281	0.0647	0.0647	TRUE	0.712
FBtr0085786	602	256	238	1384	375	457	312	383	335	707	515	567	469.82	343	596	1.744	0.803	3.514	0.000442056099035155	0.0134261024708507	0.0177	0.0984	0.0351	0.0351	TRUE	0.3212
FBtr0332709	31	10	6	77	26	36	16	15	8	39	36	45	26.53	13	40	2.941	1.556	3.513	0.000442670989177987	0.0134261024708507	0	0.2608	0.0902	0.0902	TRUE	0.2902
FBtr0083552	328	108	89	466	315	266	170	162	125	238	433	330	242.91	152	334	2.176	1.122	3.505	0.000457332517078671	0.0137862050689493	0.054	0.1074	0.0686	0.0686	TRUE	0.1132
FBtr0343016	81	54	70	605	142	122	42	81	99	309	195	151	146.12	74	218	3.006	1.588	3.5	0.000465043476935184	0.0139760406632117	0.1473	0.1199	0.1382	0.1382	TRUE	0.4164
FBtr0330734	2700	1091	1306	5140	1759	2106	1397	1634	1840	2625	2416	2613	2087.37	1624	2551	1.573	0.653	3.494	0.000475676482366366	0.0142522764224165	0.0096	0.0908	0.0247	0.0247	TRUE	0.1841
FBtr0082335	490	180	211	773	324	369	254	270	297	395	445	458	352.98	274	433	1.583	0.663	3.492	0.000479694306305183	0.0143509151394629	0.0046	0.1016	0.0227	0.0227	TRUE	0.0733
FBtr0086053	63	26	35	368	96	51	33	39	49	188	132	63	83.98	40	128	3.214	1.684	3.491	0.00048135960193278	0.0143789820667987	0.1531	0.143	0.1498	0.1498	TRUE	0.1042
