Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0010470	7784	2673	3134	10736	4286	5025	3915	4181	4466	5482	6000	6151	5032.61	4187	5878	1.404	0.489	4.574	4.78379524214849e-06	0.000147740635252381	0.0036	0.0129	0.008	0.008	TRUE	0.0428
FBgn0038720	401	132	135	640	223	290	202	206	192	327	312	355	265.75	200	331	1.654	0.726	4.567	4.94644275376673e-06	0.000152242391650063	0	0.0259	0.0139	0.0139	TRUE	0.0408
FBgn0053556	378	117	116	552	253	256	190	183	165	282	354	313	247.98	179	316	1.746	0.804	4.561	5.07979392804963e-06	0.000155814903548135	0.0068	0.0269	0.0177	0.0177	TRUE	0.118
FBgn0250904	34	12	13	102	44	50	17	19	19	52	62	61	38.21	18	58	3.225	1.689	4.555	5.22723917454701e-06	0.000159794043647678	0	0.1075	0.0611	0.0611	TRUE	0.0991
FBgn0004108	758	341	394	1432	686	800	381	533	562	731	960	979	691.16	492	890	1.816	0.861	4.553	5.28788252963835e-06	0.000161101772473914	0.0328	0.0175	0.024	0.024	TRUE	0.4937
FBgn0263916	3336	1022	1208	4234	1781	2174	1678	1598	1722	2162	2493	2661	2052.41	1666	2439	1.462	0.548	4.547	5.45236623531086e-06	0.000165553665690348	0.0054	0.014	0.0099	0.0099	TRUE	0.123
FBgn0001124	1821	693	787	2778	1193	1377	916	1084	1122	1419	1670	1685	1315.94	1041	1591	1.532	0.615	4.513	6.39322149874964e-06	0.00019154176570008	0.0099	0.015	0.0125	0.0125	TRUE	0.1399
FBgn0260933	1240	465	438	1763	759	874	624	727	624	900	1063	1070	834.64	658	1011	1.535	0.619	4.507	6.58319602245079e-06	0.000196580336855832	0.0075	0.0165	0.0122	0.0122	TRUE	0.1158
FBgn0039485	76	18	29	186	70	66	38	28	41	95	98	81	63.58	36	91	2.517	1.331	4.484	7.3102454327662e-06	0.000216143584631756	0	0.0695	0.0432	0.0432	TRUE	0.1651
FBgn0267727	9357	3195	3440	12043	4958	5706	4707	4997	4903	6150	6941	6984	5780.2	4869	6692	1.374	0.459	4.475	7.63709469024186e-06	0.000225069672930069	0.0027	0.0128	0.0074	0.0074	TRUE	0.062
FBgn0020255	10036	3316	4055	13903	5439	5960	5048	5186	5779	7100	7614	7295	6337.09	5338	7336	1.375	0.459	4.466	7.98345662947962e-06	0.000234510787897874	0.003	0.0128	0.0074	0.0074	TRUE	0.0634
FBgn0087007	197	64	77	353	139	157	99	100	110	180	195	192	145.99	103	189	1.837	0.878	4.463	8.09346411380681e-06	0.000236336068403049	0	0.0371	0.0199	0.0199	TRUE	0.0277
FBgn0035623	494	164	197	833	288	328	248	257	281	425	403	401	335.96	262	410	1.574	0.654	4.439	9.04260038511361e-06	0.000263052162170821	0	0.023	0.0123	0.0123	TRUE	0.0415
FBgn0001257	18658	5107	5297	23574	8159	9989	9385	7988	7549	12038	11422	12226	10101.44	8307	11895	1.431	0.517	4.436	9.17417401546135e-06	0.000265891719161856	0.0071	0.0125	0.0097	0.0097	TRUE	0.1587
FBgn0010097	129	47	56	248	109	160	65	74	80	127	153	196	115.55	73	159	2.183	1.126	4.4	1.08437716498567e-05	0.000310441691233041	0.0268	0.0437	0.0364	0.0364	TRUE	0.2092
FBgn0050035	1993	766	773	2847	1274	1421	1002	1198	1102	1454	1783	1739	1379.81	1101	1659	1.508	0.593	4.395	1.10950251090162e-05	0.000315630714300026	0.0096	0.0148	0.0123	0.0123	TRUE	0.1461
FBgn0003447	43	14	21	147	44	55	22	22	30	75	62	67	46.24	25	68	2.839	1.505	4.386	1.1540953392826e-05	0.000327284017913538	0	0.091	0.0555	0.0555	TRUE	0.1688
FBgn0025678	15325	5618	6617	22118	9336	10826	7709	8787	9430	11295	13070	13251	10590.2	8642	12539	1.451	0.537	4.382	1.17680444856141e-05	0.000331638203660213	0.0086	0.0125	0.0107	0.0107	TRUE	0.1101
FBgn0030318	4078	1239	1395	5015	2113	2267	2051	1938	1988	2561	2958	2775	2378.5	1992	2765	1.385	0.47	4.382	1.1735808121199e-05	0.000331638203660213	0.0028	0.0137	0.0078	0.0078	TRUE	0.0518
FBgn0013765	4722	1549	1592	6747	2227	2531	2375	2423	2269	3445	3118	3098	2787.96	2356	3220	1.368	0.452	4.379	1.1914620569415e-05	0.000334722891884686	0.0018	0.0135	0.0073	0.0073	TRUE	0.0466
FBgn0026189	20949	7023	6703	29648	10276	10931	10538	10984	9553	15140	14385	13379	12329.99	10358	14301	1.381	0.466	4.363	1.28352521176838e-05	0.000357247850608867	0.0043	0.0125	0.0081	0.0081	TRUE	0.0562
FBgn0266176	0	0	0	16	4	34	0	0	0	8	6	42	9.23	0	19	95.845	6.583	4.363	1.28017558954449e-05	0.000357247850608867	1.4212	0.4068	0.612	0.612	TRUE	5.0408
FBgn0032420	198	59	68	381	113	153	100	92	97	195	158	187	138.14	96	180	1.872	0.905	4.347	1.37787737307702e-05	0.000381156384981859	0	0.0386	0.0228	0.0228	TRUE	0.1079
FBgn0014869	2450	844	982	3303	1590	1715	1232	1320	1400	1687	2226	2099	1660.61	1317	2004	1.52	0.604	4.334	1.46469468811836e-05	0.000398325033949479	0.011	0.0144	0.0133	0.0133	TRUE	0.2385
FBgn0015777	1892	606	592	2796	892	1045	952	948	844	1428	1249	1279	1116.47	915	1319	1.443	0.529	4.334	1.46551119377888e-05	0.000398325033949479	0.0041	0.0154	0.0097	0.0097	TRUE	0.066
FBgn0039844	827	320	296	1491	463	536	416	500	422	761	648	656	567.33	446	688	1.554	0.636	4.334	1.46644390409433e-05	0.000398325033949479	0.0076	0.0186	0.0135	0.0135	TRUE	0.1222
FBgn0027597	631	206	259	941	380	445	317	322	369	481	532	545	427.65	336	519	1.545	0.627	4.304	1.68062551956375e-05	0.000451067884982914	0.0036	0.0207	0.0126	0.0126	TRUE	0.0779
FBgn0259111	3828	1522	1460	5525	2334	2611	1926	2380	2081	2821	3267	3196	2611.9	2129	3095	1.455	0.541	4.284	1.83228032606269e-05	0.000487418996472961	0.0083	0.0136	0.011	0.011	TRUE	0.1278
FBgn0010894	271	73	78	587	152	164	136	114	111	300	213	201	179.16	120	238	1.97	0.978	4.269	1.96507200400593e-05	0.000516647793939518	0.0293	0.0325	0.0311	0.0311	TRUE	0.6347
FBgn0010314	517	165	177	960	301	293	260	258	252	490	421	359	340.1	257	423	1.655	0.727	4.266	1.99326342631934e-05	0.000519515883773059	0.0114	0.0229	0.0175	0.0175	TRUE	0.1465
FBgn0000299	78910	30319	28629	107860	53135	51962	39692	47421	40801	55080	74384	63601	53496.63	42638	64355	1.509	0.594	4.263	2.0135713569651e-05	0.000522336213070069	0.0161	0.0123	0.014	0.014	TRUE	0.176
FBgn0086355	5601	2297	2402	8112	4315	5003	2817	3593	3423	4143	6041	6124	4356.67	3278	5436	1.659	0.73	4.263	2.01566868649794e-05	0.000522336213070069	0.0286	0.013	0.0209	0.0209	TRUE	0.5324
FBgn0036316	6115	2251	2628	9138	3454	4008	3076	3521	3745	4666	4835	4906	4124.9	3447	4802	1.394	0.48	4.25	2.14074288622207e-05	0.000550006249229364	0.0048	0.0131	0.0089	0.0089	TRUE	0.111
FBgn0034067	170	69	80	329	145	174	86	108	114	168	203	213	148.57	103	195	1.917	0.939	4.234	2.29856934053459e-05	0.000587209583936004	0.0154	0.0367	0.0273	0.0273	TRUE	0.2799
FBgn0000447	1043	322	410	1618	536	627	525	504	584	826	750	767	659.44	538	781	1.457	0.543	4.211	2.54778954175247e-05	0.000647210312324612	0.0022	0.0177	0.0103	0.0103	TRUE	0.0623
FBgn0063667	8	1	4	42	20	25	4	2	6	21	28	31	15.22	4	27	6.851	2.776	4.204	2.62551806615589e-05	0.000665082076421175	0	0.2515	0.1637	0.1637	TRUE	0.2754
FBgn0031461	918	311	314	1292	528	525	462	486	448	660	739	643	572.87	465	681	1.462	0.548	4.166	3.10204604625909e-05	0.000774910006791258	0.0016	0.0185	0.0105	0.0105	TRUE	0.0629
FBgn0033777	1654	531	553	2492	810	879	832	831	788	1273	1134	1076	988.83	817	1161	1.423	0.509	4.157	3.21823436957483e-05	0.000801713744332205	0.0038	0.0159	0.0097	0.0097	TRUE	0.0897
FBgn0037844	412	131	139	591	255	262	207	205	198	302	357	321	264.95	203	327	1.596	0.675	4.154	3.26919458421192e-05	0.000809933976934701	0	0.0259	0.0147	0.0147	TRUE	0.0717
FBgn0011710	4462	1486	1585	5655	2210	2463	2244	2324	2259	2888	3094	3015	2637.3	2276	2999	1.317	0.398	4.148	3.36089528657068e-05	0.000823602002562347	6e-04	0.0136	0.0062	0.0062	TRUE	0.0131
FBgn0051361	2356	861	806	3220	1238	1418	1185	1347	1149	1644	1733	1736	1465.58	1227	1704	1.39	0.475	4.145	3.40528517957599e-05	0.000832218475593937	0.0031	0.0147	0.0087	0.0087	TRUE	0.0833
FBgn0085446	7208	2348	2208	8649	3689	4274	3626	3672	3147	4417	5164	5231	4209.54	3482	4937	1.417	0.503	4.142	3.44834891153472e-05	0.000840465148222164	0.0073	0.013	0.0104	0.0104	TRUE	0.1052
FBgn0033368	107	24	30	187	76	86	54	38	43	95	106	105	73.54	45	102	2.223	1.153	4.135	3.54998543574849e-05	0.0008629048156221	0	0.0617	0.0392	0.0392	TRUE	0.3605
FBgn0039876	396	130	133	637	207	262	199	203	190	325	290	321	254.64	197	312	1.584	0.664	4.127	3.67866963050261e-05	0.000886541645099105	0	0.0265	0.0142	0.0142	TRUE	0.0398
FBgn0063491	1684	543	645	2240	874	1128	847	849	919	1144	1224	1381	1060.61	872	1250	1.432	0.518	4.126	3.68655042040546e-05	0.000886541645099105	0.005	0.0156	0.0103	0.0103	TRUE	0.1013
FBgn0035390	1957	604	693	2592	983	1036	984	945	988	1324	1376	1268	1147.42	972	1323	1.359	0.443	4.105	4.03667017368605e-05	0.000963233260998318	0	0.0154	0.0074	0.0074	TRUE	0.0149
FBgn0011606	2872	1023	1013	3726	1587	1742	1445	1600	1444	1903	2222	2132	1790.83	1496	2086	1.394	0.479	4.101	4.1185438456962e-05	0.00097997436412898	0.0041	0.0142	0.0092	0.0092	TRUE	0.0736
FBgn0037850	491	180	211	770	324	368	247	282	301	393	454	450	354.4	277	432	1.57	0.651	4.093	4.25904885908586e-05	0.00101073954240096	0.0066	0.0225	0.015	0.015	TRUE	0.1174
FBgn0000490	318	114	98	512	208	202	160	178	140	261	291	247	212.97	159	266	1.672	0.742	4.072	4.65688894256001e-05	0.00109936713308917	0.0015	0.0293	0.0185	0.0185	TRUE	0.0993
FBgn0022702	330	180	180	689	350	413	166	282	257	352	490	506	341.9	235	449	1.928	0.947	4.071	4.67859767451047e-05	0.00110160819396176	0.0539	0.0228	0.0354	0.0354	TRUE	0.8342
FBgn0250785	2059	774	840	2928	1191	1405	1036	1211	1197	1495	1667	1720	1387.61	1148	1627	1.42	0.506	4.064	4.81945011490666e-05	0.00113181773792261	0.006	0.0148	0.0103	0.0103	TRUE	0.0935
